10	21	3
9	0	1
18	3	4
2	29	3
8	81	2
5	6	3
0	31	5
12	66	3
9	79	4
19	59	3
12	12	5
8	99	2
10	17	3
17	8	5
14	86	2
19	85	3
16	75	2
2	99	2
10	0	1
7	43	4
5	14	5
16	81	3
11	33	3
18	3	4
2	48	4
12	91	3
1	93	3
17	90	2
13	4	4
1	89	5
5	26	4
12	33	4
6	79	4
12	36	2
7	30	1
15	8	5
1	26	4
11	80	4
15	80	3
5	87	4
16	4	3
3	45	3
7	71	4
8	31	5
7	58	4
3	36	2
7	37	2
7	97	2
2	4	3
14	94	4
17	95	2
8	14	4
12	82	2
12	92	4
8	84	2
2	31	4
12	96	3
19	92	2
15	4	4
17	77	3
6	76	5
2	64	4
11	83	2
15	77	3
5	72	3
18	85	4
3	4	4
10	86	2
9	7	5
7	63	3
2	76	2
3	6	4
13	37	3
8	53	1
7	99	2
1	20	5
17	4	4
19	29	3
9	66	3
9	44	2
0	98	4
10	62	1
14	85	3
8	55	1
9	49	1
4	26	4
6	58	2
2	94	4
0	44	2
12	88	4
17	45	3
17	3	4
15	57	5
18	39	2
5	39	4
1	78	4
0	14	4
19	10	5
1	48	4
11	67	3
5	94	4
12	6	4
6	14	4
3	71	2
14	82	2
16	91	4
3	40	1
0	77	3
4	7	4
3	13	2
15	86	4
8	6	4
16	10	5
1	31	4
7	64	4
8	71	2
16	5	4
7	17	3
4	3	5
17	51	5
10	43	4
19	75	2
10	53	1
10	19	2
12	97	2
4	1	4
16	21	3
0	89	4
19	64	4
19	37	2
16	71	4
8	77	3
16	89	5
15	24	5
7	40	3
11	17	3
4	29	3
3	81	2
4	35	2
7	25	2
7	26	4
0	35	2
7	46	1
19	84	4
8	55	1
3	10	4
1	66	4
1	54	4
13	94	3
18	99	2
3	97	2
18	47	1
4	89	5
8	44	2
9	49	1
5	54	4
13	11	2
19	26	4
0	28	4
0	91	3
2	57	2
3	28	4
5	61	3
3	79	4
17	32	4
2	58	4
15	91	3
15	90	2
12	4	4
16	57	2
3	23	2
4	40	3
4	84	4
1	33	3
12	32	4
13	80	3
12	45	3
9	18	1
5	36	5
