18	93	2
18	97	2
3	93	2
6	7	3
14	95	5
18	94	4
11	40	2
3	25	4
3	25	5
4	38	3
18	67	3
1	88	3
5	42	3
6	5	2
9	90	4
2	29	3
14	85	2
5	31	5
19	77	3
14	41	4
5	77	5
10	91	1
16	64	3
16	83	3
1	20	1
12	43	4
5	74	2
8	67	2
9	9	3
8	48	3
17	3	2
3	90	3
19	22	2
12	72	4
7	60	2
17	30	2
17	65	2
4	47	5
10	51	3
3	56	4
9	1	1
5	62	2
12	54	3
3	55	3
2	84	2
0	98	4
6	26	3
7	2	4
10	41	4
13	51	5
10	78	1
6	43	5
4	18	4
15	4	3
0	19	1
13	19	2
0	68	2
18	68	3
19	17	3
2	40	4
13	58	2
15	66	2
19	72	2
3	93	2
2	99	2
10	50	4
3	35	2
6	22	4
18	60	3
8	63	5
3	82	2
0	75	2
4	82	4
8	67	3
11	84	1
5	14	3
1	55	3
12	65	2
11	74	2
3	97	3
8	65	2
16	44	3
3	78	1
19	86	2
17	0	3
3	53	2
14	0	3
8	64	3
13	29	2
2	62	2
3	7	4
13	94	2
5	4	4
6	4	2
4	53	4
4	57	4
9	33	4
0	18	3
5	66	3
17	63	2
10	45	5
19	49	2
11	88	3
9	31	4
13	26	3
6	16	5
15	91	4
7	23	2
8	74	1
16	21	3
14	33	3
2	38	3
6	3	3
7	97	3
17	25	1
14	92	4
11	17	4
1	70	1
3	79	1
10	83	4
1	95	2
13	4	2
7	84	4
16	24	2
10	65	3
18	94	2
13	17	1
18	82	5
1	62	3
7	83	5
3	24	2
4	69	3
11	74	2
12	28	2
15	73	2
10	52	5
15	14	4
9	68	1
16	37	4
16	41	4
12	45	4
10	14	4
12	93	2
7	22	3
9	7	5
0	74	3
4	52	3
6	77	3
12	89	2
18	77	5
7	14	4
2	93	1
0	64	3
18	30	3
9	21	5
5	89	1
18	98	3
7	11	4
0	88	1
13	72	2
7	89	2
19	27	2
7	66	3
12	74	3
2	92	4
5	47	2
8	85	5
4	7	4
11	84	2
2	34	4
15	84	1
10	15	3
5	48	4
9	15	4
0	44	3
8	44	3
5	66	4
6	85	5
16	96	4
3	90	4
13	8	3
11	99	1
2	94	3
18	32	2
1	45	3
18	32	4
19	83	2
0	11	3
14	31	3
9	73	3
11	54	2
10	23	5
